"C","Day-Ahead Energy Market Historical Offer Report"
"C","Filename: hbdayaheadenergyoffer_20190428.csv"
"C","Report for: 04/28/2019 - 04/28/2019"
"C","Report generated: 10/10/2020 14:25:33 EDT"
"H","Day","Trading Interval","Masked Lead Participant ID","Masked Asset ID","Must Take Energy","Maximum Daily Energy Available","Economic Maximum","Economic Minimum","Cold Startup Price","Intermediate Startup Price","Hot Startup Price","No Load Price","Segment 1 Price","Segment 1 MW","Segment 2 Price","Segment 2 MW","Segment 3 Price","Segment 3 MW","Segment 4 Price","Segment 4 MW","Segment 5 Price","Segment 5 MW","Segment 6 Price","Segment 6 MW","Segment 7 Price","Segment 7 MW","Segment 8 Price","Segment 8 MW","Segment 9 Price","Segment 9 MW","Segment 10 Price","Segment 10 MW","Claim 10","Claim 30","Unit Status"
"H","Date","String","Number","Number","Number","Number","Number","Number","$","$","$","$","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","MW","MW","String"
"D","04/28/2019","01",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","02",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","03",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","04",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","05",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","06",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","07",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","08",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","09",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","10",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","11",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","12",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","13",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","14",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","15",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","16",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","17",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","18",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","19",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","20",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","21",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","22",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","23",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","24",20721,88115,0,0,3,0.5,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","01",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","02",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","03",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","04",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","05",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","06",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","07",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","08",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","09",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","10",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","11",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","12",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","13",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","14",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","15",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","16",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","17",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","18",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","19",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","20",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","21",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","22",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","23",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","24",20721,91570,0,0,41.5,28,3121,3121,3121,341,32.74,28,32.75,5,32.76,4,32.77,5,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","04/28/2019","01",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,31.4,-24,14.3,-23,16.5,456,30.7,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","02",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,30.5,-24,13.5,-23,15.5,456,33.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","03",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,26.1,-24,12.9,-23,14.5,456,39.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","04",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,22.6,-24,12.2,-23,14.3,456,43.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","05",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,19.6,-24,12,-23,14.7,456,46.6,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","06",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,21.2,-24,10.9,-23,13.4,456,47.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","07",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,22.7,-24,12,-23,14.1,456,44.1,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","08",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,24.5,-24,12.6,-23,14.5,456,41.3,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","09",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,13,-24,11.8,-23,18.9,456,49.2,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","10",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,10.7,-24,10.8,-23,18.3,456,53.1,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","11",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,7.9,-24,9.8,-23,17.4,456,57.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","12",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,6.9,-24,9.3,-23,17.3,456,59.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","13",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,5.8,-24,8.8,-23,17,456,61.3,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","14",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,5.2,-24,8.6,-23,16.7,456,62.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","15",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,5.7,-24,8.6,-23,17,456,61.6,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","16",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,7.3,-24,9.2,-23,17.5,456,58.9,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","17",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,10.3,-24,10,-23,18.8,456,53.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","18",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,11.6,-24,10.7,-23,19,456,51.6,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","19",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,11.5,-24,11,-23,18.7,456,51.7,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","20",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,14.4,-24,12.5,-23,19.2,456,46.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","21",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,12.9,-24,13,-23,17.8,456,49.2,,,,,,,,,,,0,0,"MUST_RUN"
"D","04/28/2019","22",124454,57942,0,1081.2,93,0.1,0,0,0,0,-150,0.1,-25,18.3,-24,15.3,-23,19.2,456,40.1,,,,,,,,,,,0,0,"MUST_RUN"
