"C","Day-Ahead Energy Market Historical Offer Report"
"C","Filename: hbdayaheadenergyoffer_20191112.csv"
"C","Report for: 11/12/2019 - 11/12/2019"
"C","Report generated: 03/01/2020 16:36:33 EST"
"H","Day","Trading Interval","Masked Lead Participant ID","Masked Asset ID","Must Take Energy","Maximum Daily Energy Available","Economic Maximum","Economic Minimum","Cold Startup Price","Intermediate Startup Price","Hot Startup Price","No Load Price","Segment 1 Price","Segment 1 MW","Segment 2 Price","Segment 2 MW","Segment 3 Price","Segment 3 MW","Segment 4 Price","Segment 4 MW","Segment 5 Price","Segment 5 MW","Segment 6 Price","Segment 6 MW","Segment 7 Price","Segment 7 MW","Segment 8 Price","Segment 8 MW","Segment 9 Price","Segment 9 MW","Segment 10 Price","Segment 10 MW","Claim 10","Claim 30","Unit Status"
"H","Date","String","Number","Number","Number","Number","Number","Number","$","$","$","$","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","$","MW","MW","MW","String"
"D","11/12/2019","01",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","02",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","03",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","04",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","05",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","06",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","07",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","08",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","09",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","10",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","11",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","12",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","13",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","14",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","15",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","16",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","17",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","18",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","19",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","20",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","21",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","22",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","23",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","24",20721,88115,0,0,4,0.5,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","01",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","02",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","03",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","04",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","05",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","06",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","07",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","08",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","09",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","10",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","11",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","12",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","13",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","14",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","15",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","16",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","17",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","18",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","19",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","20",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","21",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","22",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","23",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","24",20721,91570,0,0,40.5,28,3441,3441,3441,517,48.5,28,48.51,4.2,48.52,4.1,48.53,4.2,,,,,,,,,,,,,0,0,"ECONOMIC"
"D","11/12/2019","01",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,12.6,-24,9.9,-23,10.5,456,65.9,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","02",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,11.3,-24,9.8,-23,10.4,456,67.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","03",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,6.3,-24,7.3,-23,8.7,456,76.6,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","04",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,4.6,-24,7.6,-23,9.4,456,77.3,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","05",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,2.5,-24,6.9,-23,8.8,456,80.7,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","06",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-24,5.1,-23,7.5,456,86.3,,,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","07",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,1.6,-24,5.7,-23,7.9,456,83.7,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","08",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,3.5,-24,5.8,-23,8.1,456,81.5,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","09",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,5.4,-24,6.6,-23,8.8,456,78.1,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","10",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,8.6,-24,7.9,-23,10.2,456,72.2,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","11",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,13.6,-24,10.9,-23,12.8,456,61.6,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","12",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,18,-24,13.1,-23,15,456,52.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","13",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,23.9,-24,14.1,-23,16.9,456,44,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","14",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,30.2,-24,15.2,-23,19.1,456,34.4,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","15",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,33.6,-24,15.9,-23,20.3,456,29.1,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","16",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,34.5,-24,18.8,-23,20.8,456,24.8,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","17",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,36.8,-24,20.9,-23,22.1,456,19.1,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","18",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,39,-24,22.3,-23,23.1,456,14.5,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","19",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,41.6,-24,23,-23,24,456,10.3,,,,,,,,,,,0,0,"MUST_RUN"
"D","11/12/2019","20",124454,57942,0,1286,99,0.1,0,0,0,0,-150,0.1,-25,43.8,-24,23.4,-23,24.8,456,6.9,,,,,,,,,,,0,0,"MUST_RUN"
