"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20190401_20190415.csv"
"C","Report for: 04/01/2019 - 04/15/2019"
"C","Report generated: 11/27/2020 19:06:51 EST"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","04/01/2019","01",9666.0
"D","04/01/2019","02",9367.0
"D","04/01/2019","03",9602.0
"D","04/01/2019","04",9626.0
"D","04/01/2019","05",9578.0
"D","04/01/2019","06",10679.0
"D","04/01/2019","07",12606.0
"D","04/01/2019","08",13801.0
"D","04/01/2019","09",13407.0
"D","04/01/2019","10",12996.0
"D","04/01/2019","11",12479.0
"D","04/01/2019","12",12393.0
"D","04/01/2019","13",11932.0
"D","04/01/2019","14",11928.0
"D","04/01/2019","15",11719.0
"D","04/01/2019","16",11799.0
"D","04/01/2019","17",12280.0
"D","04/01/2019","18",12885.0
"D","04/01/2019","19",13479.0
"D","04/01/2019","20",14020.0
"D","04/01/2019","21",14294.0
"D","04/01/2019","22",13245.0
"D","04/01/2019","23",12010.0
"D","04/01/2019","24",10878.0
"D","04/02/2019","01",10726.0
"D","04/02/2019","02",10588.0
"D","04/02/2019","03",10452.0
"D","04/02/2019","04",10396.0
"D","04/02/2019","05",10810.0
"D","04/02/2019","06",11576.0
"D","04/02/2019","07",13495.0
"D","04/02/2019","08",14245.0
"D","04/02/2019","09",13601.0
"D","04/02/2019","10",12681.0
"D","04/02/2019","11",12527.0
"D","04/02/2019","12",12210.0
"D","04/02/2019","13",11930.0
"D","04/02/2019","14",11765.0
"D","04/02/2019","15",11699.0
"D","04/02/2019","16",11810.0
"D","04/02/2019","17",12166.0
"D","04/02/2019","18",12769.0
"D","04/02/2019","19",13205.0
"D","04/02/2019","20",13633.0
"D","04/02/2019","21",13966.0
"D","04/02/2019","22",12844.0
"D","04/02/2019","23",11419.0
"D","04/02/2019","24",10189.0
"D","04/03/2019","01",10529.0
"D","04/03/2019","02",10272.0
"D","04/03/2019","03",10502.0
"D","04/03/2019","04",10474.0
"D","04/03/2019","05",10967.0
"D","04/03/2019","06",11157.0
"D","04/03/2019","07",13000.0
"D","04/03/2019","08",14217.0
"D","04/03/2019","09",14070.0
"D","04/03/2019","10",13716.0
"D","04/03/2019","11",13290.0
"D","04/03/2019","12",12582.0
"D","04/03/2019","13",11991.0
"D","04/03/2019","14",11873.0
"D","04/03/2019","15",11653.0
"D","04/03/2019","16",11553.0
"D","04/03/2019","17",11639.0
"D","04/03/2019","18",12038.0
"D","04/03/2019","19",12605.0
"D","04/03/2019","20",13095.0
"D","04/03/2019","21",13110.0
"D","04/03/2019","22",12340.0
"D","04/03/2019","23",11119.0
"D","04/03/2019","24",10155.0
"D","04/04/2019","01",9600.0
"D","04/04/2019","02",9603.0
"D","04/04/2019","03",9574.0
"D","04/04/2019","04",9615.0
"D","04/04/2019","05",9816.0
"D","04/04/2019","06",10474.0
"D","04/04/2019","07",12029.0
"D","04/04/2019","08",12910.0
"D","04/04/2019","09",12592.0
"D","04/04/2019","10",11773.0
"D","04/04/2019","11",11465.0
"D","04/04/2019","12",11189.0
"D","04/04/2019","13",10901.0
"D","04/04/2019","14",10826.0
"D","04/04/2019","15",10859.0
"D","04/04/2019","16",11110.0
"D","04/04/2019","17",11588.0
"D","04/04/2019","18",12214.0
"D","04/04/2019","19",12625.0
"D","04/04/2019","20",13266.0
"D","04/04/2019","21",13185.0
"D","04/04/2019","22",12504.0
"D","04/04/2019","23",11028.0
"D","04/04/2019","24",10012.0
"D","04/05/2019","01",10287.0
"D","04/05/2019","02",10051.0
"D","04/05/2019","03",10103.0
"D","04/05/2019","04",9978.0
"D","04/05/2019","05",10310.0
"D","04/05/2019","06",11304.0
"D","04/05/2019","07",13352.0
"D","04/05/2019","08",14647.0
"D","04/05/2019","09",14567.0
"D","04/05/2019","10",14267.0
"D","04/05/2019","11",14272.0
"D","04/05/2019","12",13994.0
"D","04/05/2019","13",13873.0
"D","04/05/2019","14",13693.0
"D","04/05/2019","15",13506.0
"D","04/05/2019","16",13379.0
"D","04/05/2019","17",13550.0
"D","04/05/2019","18",13891.0
"D","04/05/2019","19",13921.0
"D","04/05/2019","20",14067.0
"D","04/05/2019","21",13798.0
"D","04/05/2019","22",12742.0
"D","04/05/2019","23",11636.0
"D","04/05/2019","24",10632.0
"D","04/06/2019","01",10000.0
"D","04/06/2019","02",9858.0
"D","04/06/2019","03",9561.0
"D","04/06/2019","04",9532.0
"D","04/06/2019","05",9560.0
"D","04/06/2019","06",9976.0
"D","04/06/2019","07",10410.0
"D","04/06/2019","08",11067.0
"D","04/06/2019","09",11902.0
"D","04/06/2019","10",11816.0
"D","04/06/2019","11",11640.0
"D","04/06/2019","12",11156.0
"D","04/06/2019","13",10661.0
"D","04/06/2019","14",10434.0
"D","04/06/2019","15",10282.0
"D","04/06/2019","16",10197.0
"D","04/06/2019","17",10373.0
"D","04/06/2019","18",10894.0
"D","04/06/2019","19",11255.0
"D","04/06/2019","20",11852.0
"D","04/06/2019","21",11874.0
"D","04/06/2019","22",11300.0
"D","04/06/2019","23",10483.0
"D","04/06/2019","24",9734.0
"D","04/07/2019","01",9635.0
"D","04/07/2019","02",9586.0
"D","04/07/2019","03",9739.0
"D","04/07/2019","04",9694.0
"D","04/07/2019","05",9760.0
"D","04/07/2019","06",9882.0
"D","04/07/2019","07",10147.0
"D","04/07/2019","08",10746.0
"D","04/07/2019","09",10908.0
"D","04/07/2019","10",10656.0
"D","04/07/2019","11",10664.0
"D","04/07/2019","12",10637.0
"D","04/07/2019","13",10553.0
"D","04/07/2019","14",10481.0
"D","04/07/2019","15",10617.0
"D","04/07/2019","16",10322.0
"D","04/07/2019","17",10882.0
"D","04/07/2019","18",11396.0
"D","04/07/2019","19",12038.0
"D","04/07/2019","20",12536.0
"D","04/07/2019","21",12628.0
"D","04/07/2019","22",11651.0
"D","04/07/2019","23",10531.0
"D","04/07/2019","24",9760.0
"D","04/08/2019","01",9448.0
"D","04/08/2019","02",9614.0
"D","04/08/2019","03",9653.0
"D","04/08/2019","04",9655.0
"D","04/08/2019","05",9480.0
"D","04/08/2019","06",10220.0
"D","04/08/2019","07",11988.0
"D","04/08/2019","08",13369.0
"D","04/08/2019","09",13517.0
"D","04/08/2019","10",13550.0
"D","04/08/2019","11",13473.0
