"C","Day-Ahead Energy Market Hourly Demand Report"
"C","Filename: da_hourlydemand_20191226_20191231.csv"
"C","Report for: 12/26/2019 - 12/31/2019"
"C","Report generated: 11/27/2020 19:14:24 EST"
"H","Date","Hour Ending","Day-Ahead Cleared Demand"
"H","Date","HE","MWh"
"D","12/26/2019","01",11215.0
"D","12/26/2019","02",10781.0
"D","12/26/2019","03",10714.0
"D","12/26/2019","04",10598.0
"D","12/26/2019","05",10917.0
"D","12/26/2019","06",11661.0
"D","12/26/2019","07",13064.0
"D","12/26/2019","08",14162.0
"D","12/26/2019","09",14589.0
"D","12/26/2019","10",14895.0
"D","12/26/2019","11",14974.0
"D","12/26/2019","12",14761.0
"D","12/26/2019","13",14391.0
"D","12/26/2019","14",14520.0
"D","12/26/2019","15",14724.0
"D","12/26/2019","16",15077.0
"D","12/26/2019","17",16269.0
"D","12/26/2019","18",16978.0
"D","12/26/2019","19",16702.0
"D","12/26/2019","20",16040.0
"D","12/26/2019","21",15661.0
"D","12/26/2019","22",14636.0
"D","12/26/2019","23",13196.0
"D","12/26/2019","24",11869.0
"D","12/27/2019","01",11002.0
"D","12/27/2019","02",10992.0
"D","12/27/2019","03",10942.0
"D","12/27/2019","04",10981.0
"D","12/27/2019","05",10973.0
"D","12/27/2019","06",11495.0
"D","12/27/2019","07",12942.0
"D","12/27/2019","08",13972.0
"D","12/27/2019","09",14421.0
"D","12/27/2019","10",14434.0
"D","12/27/2019","11",14370.0
"D","12/27/2019","12",14127.0
"D","12/27/2019","13",14092.0
"D","12/27/2019","14",13615.0
"D","12/27/2019","15",13437.0
"D","12/27/2019","16",13760.0
"D","12/27/2019","17",14941.0
"D","12/27/2019","18",15481.0
"D","12/27/2019","19",14994.0
"D","12/27/2019","20",14535.0
"D","12/27/2019","21",13921.0
"D","12/27/2019","22",13181.0
"D","12/27/2019","23",11898.0
"D","12/27/2019","24",11028.0
"D","12/28/2019","01",10281.0
"D","12/28/2019","02",10055.0
"D","12/28/2019","03",9998.0
"D","12/28/2019","04",9987.0
"D","12/28/2019","05",10151.0
"D","12/28/2019","06",10326.0
"D","12/28/2019","07",11124.0
"D","12/28/2019","08",11753.0
"D","12/28/2019","09",12557.0
"D","12/28/2019","10",12797.0
"D","12/28/2019","11",12286.0
"D","12/28/2019","12",12054.0
"D","12/28/2019","13",11802.0
"D","12/28/2019","14",11648.0
"D","12/28/2019","15",11850.0
"D","12/28/2019","16",12227.0
"D","12/28/2019","17",14004.0
"D","12/28/2019","18",14923.0
"D","12/28/2019","19",14492.0
"D","12/28/2019","20",14052.0
"D","12/28/2019","21",13694.0
"D","12/28/2019","22",13223.0
"D","12/28/2019","23",12343.0
"D","12/28/2019","24",11445.0
"D","12/29/2019","01",10470.0
"D","12/29/2019","02",9985.0
"D","12/29/2019","03",10081.0
"D","12/29/2019","04",10040.0
"D","12/29/2019","05",9965.0
"D","12/29/2019","06",10121.0
"D","12/29/2019","07",10719.0
"D","12/29/2019","08",11431.0
"D","12/29/2019","09",12256.0
"D","12/29/2019","10",12944.0
"D","12/29/2019","11",13017.0
"D","12/29/2019","12",12921.0
"D","12/29/2019","13",12871.0
"D","12/29/2019","14",12931.0
"D","12/29/2019","15",13003.0
"D","12/29/2019","16",13490.0
"D","12/29/2019","17",14681.0
"D","12/29/2019","18",15621.0
"D","12/29/2019","19",15057.0
"D","12/29/2019","20",14744.0
"D","12/29/2019","21",14250.0
"D","12/29/2019","22",13401.0
"D","12/29/2019","23",12150.0
"D","12/29/2019","24",11222.0
"D","12/30/2019","01",10661.0
"D","12/30/2019","02",10778.0
"D","12/30/2019","03",10652.0
"D","12/30/2019","04",10780.0
"D","12/30/2019","05",10882.0
"D","12/30/2019","06",11253.0
"D","12/30/2019","07",12744.0
"D","12/30/2019","08",14076.0
"D","12/30/2019","09",14420.0
"D","12/30/2019","10",14968.0
"D","12/30/2019","11",15162.0
"D","12/30/2019","12",15432.0
"D","12/30/2019","13",15375.0
"D","12/30/2019","14",15250.0
"D","12/30/2019","15",15117.0
"D","12/30/2019","16",15168.0
"D","12/30/2019","17",15889.0
"D","12/30/2019","18",16725.0
"D","12/30/2019","19",16096.0
"D","12/30/2019","20",15373.0
"D","12/30/2019","21",14716.0
"D","12/30/2019","22",13791.0
"D","12/30/2019","23",12455.0
"D","12/30/2019","24",11404.0
"D","12/31/2019","01",10850.0
"D","12/31/2019","02",10410.0
"D","12/31/2019","03",10117.0
"D","12/31/2019","04",10185.0
"D","12/31/2019","05",10385.0
"D","12/31/2019","06",10987.0
"D","12/31/2019","07",12161.0
"D","12/31/2019","08",13166.0
"D","12/31/2019","09",13556.0
"D","12/31/2019","10",13705.0
"D","12/31/2019","11",13879.0
"D","12/31/2019","12",13739.0
"D","12/31/2019","13",13673.0
"D","12/31/2019","14",13652.0
"D","12/31/2019","15",13663.0
"D","12/31/2019","16",13927.0
"D","12/31/2019","17",15036.0
"D","12/31/2019","18",15585.0
"D","12/31/2019","19",15167.0
"D","12/31/2019","20",14705.0
"D","12/31/2019","21",14166.0
"D","12/31/2019","22",13172.0
"D","12/31/2019","23",11938.0
"D","12/31/2019","24",11316.0
"T","144 lines"
