"C","Day-Ahead Energy Market Hourly LMP Report"
"C","Filename: WW_DALMP_ISO_20191219.csv"
"C","Report for: 12/19/2019 - 12/19/2019"
"C","Report generated: 12/18/2019 12:36:29 EST"
"H","Date","Hour Ending","Location ID","Location Name","Location Type","Locational Marginal Price","Energy Component","Congestion Component","Marginal Loss Component"
"H","Date","HE","String","String","String","Number","Number","Number","Number"
"D","12/19/2019","01","412","UN.FALSVL  69  FALS","NETWORK NODE",99.6,97.41,0.16,2.03
"D","12/19/2019","01","413","UN.DEERFLD569  FIFE","NETWORK NODE",95.87,97.41,0.16,-1.7
"D","12/19/2019","01","417","UN.FRAMNGHM13.8FMJ1","NETWORK NODE",99.11,97.41,0.16,1.54
"D","12/19/2019","01","418","UN.FRAMNGHM13.8FMJ2","NETWORK NODE",99.11,97.41,0.16,1.54
"D","12/19/2019","01","419","UN.FRAMNGHM13.8FMJ3","NETWORK NODE",99.11,97.41,0.16,1.54
"D","12/19/2019","01","420","UN.FRNKLNDR13.2FRDR","NETWORK NODE",98.63,97.41,0.16,1.06
"D","12/19/2019","01","421","UN.CHICOPEE13.8FRST","NETWORK NODE",99.41,97.41,0.16,1.84
"D","12/19/2019","01","424","UN.POWERSVL115 GNRT","NETWORK NODE",37.42,97.41,-50.69,-9.3
"D","12/19/2019","01","426","UN.ESSEX   34.5GORD","NETWORK NODE",96.34,97.41,0.16,-1.23
"D","12/19/2019","01","427","UN.BERLN_NH34.5GORH","NETWORK NODE",10.0,97.41,-73.7,-13.71
"D","12/19/2019","01","432","UN.HARRIS  13.2HAR1","NETWORK NODE",88.15,97.41,0.16,-9.42
"D","12/19/2019","01","433","UN.HARRIS  13.2HAR2","NETWORK NODE",88.15,97.41,0.16,-9.42
"D","12/19/2019","01","434","UN.HARRIS  13.2HAR3","NETWORK NODE",88.15,97.41,0.16,-9.42
"D","12/19/2019","01","435","UN.HARRIMAN6.9 HARR","NETWORK NODE",96.56,97.41,0.16,-1.01
"D","12/19/2019","01","436","UN.NORTH_RD34.5HEMP","NETWORK NODE",98.72,97.41,0.16,1.15
"D","12/19/2019","01","440","UN.W_BUXTON34.5HIRM","NETWORK NODE",94.77,97.41,0.16,-2.8
"D","12/19/2019","01","445","UN.ENFLD_ME115 IND5","NETWORK NODE",88.82,97.41,0.16,-8.75
"D","12/19/2019","01","446","UN.WASHNGTN34.5IND6","NETWORK NODE",90.68,97.41,0.16,-6.89
"D","12/19/2019","01","448","UN.KING_ST 23  IPSD","NETWORK NODE",96.31,97.41,0.16,-1.26
"D","12/19/2019","01","449","UN.JACKMAN 34.5JACK","NETWORK NODE",95.78,97.41,0.16,-1.79
"D","12/19/2019","01","452","UN.KENDALL 13.8KDJ1","NETWORK NODE",97.37,97.41,0.16,-0.2
"D","12/19/2019","01","457","UN.S_BROADW23  LAWH","NETWORK NODE",97.16,97.41,0.16,-0.41
"D","12/19/2019","01","460","UN.WINSLOW 34.5LCKW","NETWORK NODE",91.34,97.41,0.16,-6.23
"D","12/19/2019","01","461","UN.LENERGIA13.8LENR","NETWORK NODE",97.16,97.41,0.16,-0.41
"D","12/19/2019","01","462","UN.LISBON  115 LISB","NETWORK NODE",97.94,97.41,0.16,0.37
"D","12/19/2019","01","463","UN.LVER-AEI115 LIVR","NETWORK NODE",90.8,97.41,0.16,-6.77
"D","12/19/2019","01","464","UN.LOSTNATN34.5LOST","NETWORK NODE",85.97,97.41,0.16,-11.6
"D","12/19/2019","01","465","UN.LOWRDFLD69  LOWD","NETWORK NODE",95.81,97.41,0.16,-1.76
"D","12/19/2019","01","466","UN.K_STREET115 LST","NETWORK NODE",97.98,97.41,0.16,0.41
"D","12/19/2019","01","467","UN.RAILYARD23  MARB","NETWORK NODE",96.82,97.41,0.16,-0.75
"D","12/19/2019","01","468","UN.BERLINVT34.5MARH","NETWORK NODE",96.53,97.41,0.16,-1.04
