Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/02/2019 00:00,59TH STREET_GT_1,24138,28.71,2.18,0.00
03/02/2019 00:00,74TH STREET_GT_1,24260,28.76,2.23,0.00
03/02/2019 00:00,74TH STREET_GT_2,24261,28.76,2.23,0.00
03/02/2019 00:00,ADK HUDSON___FALLS,24011,29.32,2.79,0.00
03/02/2019 00:00,ADK RESOURCE___RCVRY,23798,29.48,2.94,0.00
03/02/2019 00:00,ADK S GLENS___FALLS,24028,29.32,2.79,0.00
03/02/2019 00:00,ADK_NYS___DAM,23527,28.73,2.20,0.00
03/02/2019 00:00,AIR_PRODUCTS___DRP,24190,28.12,1.59,0.00
03/02/2019 00:00,ALBANY___1,23571,28.12,1.59,0.00
03/02/2019 00:00,ALBANY___2,23572,28.12,1.59,0.00
03/02/2019 00:00,ALBANY___3,23573,28.12,1.59,0.00
03/02/2019 00:00,ALBANY___4,23574,28.12,1.59,0.00
03/02/2019 00:00,ALBANY___LFGE,323615,28.39,1.86,0.00
03/02/2019 00:00,ALCOA_RYNLDS___DRP,24188,25.15,-1.38,0.00
03/02/2019 00:00,ALCOA___DSASP,323711,25.15,-1.38,0.00
03/02/2019 00:00,ALLEGHENY___COGEN,23514,27.33,0.80,0.00
03/02/2019 00:00,ALTONA_WT_PWR,323606,26.00,-0.53,0.00
03/02/2019 00:00,AMERICAN_REF_FUEL,24010,25.05,-1.49,0.00
03/02/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,26.50,-0.03,0.00
03/02/2019 00:00,ARTHUR KILL_GT_1,23520,28.82,2.28,-0.01
03/02/2019 00:00,ARTHUR_KILL_2,23512,28.82,2.28,-0.01
03/02/2019 00:00,ARTHUR_KILL_3,23513,28.65,2.12,0.00
03/02/2019 00:00,ARTHUR_KILL_COGEN,323718,28.82,2.28,-0.01
03/02/2019 00:00,ASHOKAN____,23654,29.29,2.76,0.00
03/02/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,28.85,2.31,-0.01
03/02/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,28.85,2.31,-0.01
03/02/2019 00:00,ASTORIA_GT2_1,24094,28.87,2.34,-0.01
