Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/12/2019 00:00,59TH STREET_GT_1,24138,27.09,1.50,-10.84
12/12/2019 00:00,74TH STREET_GT_1,24260,27.12,1.53,-10.84
12/12/2019 00:00,74TH STREET_GT_2,24261,27.12,1.53,-10.84
12/12/2019 00:00,ADK HUDSON___FALLS,24011,31.01,0.81,-15.46
12/12/2019 00:00,ADK RESOURCE___RCVRY,23798,31.06,0.84,-15.47
12/12/2019 00:00,ADK S GLENS___FALLS,24028,31.01,0.81,-15.46
12/12/2019 00:00,ADK_NYS___DAM,23527,30.55,1.14,-14.67
12/12/2019 00:00,AIR_PRODUCTS___DRP,24190,30.09,0.90,-14.45
12/12/2019 00:00,ALBANY___1,23571,30.09,0.90,-14.45
12/12/2019 00:00,ALBANY___2,23572,30.09,0.90,-14.45
12/12/2019 00:00,ALBANY___3,23573,30.09,0.90,-14.45
12/12/2019 00:00,ALBANY___4,23574,30.09,0.90,-14.45
12/12/2019 00:00,ALBANY___LFGE,323615,30.42,1.00,-14.67
12/12/2019 00:00,ALCOA_RYNLDS___DRP,24188,14.08,-0.66,0.00
12/12/2019 00:00,ALCOA___DSASP,323711,14.08,-0.66,0.00
12/12/2019 00:00,ALLEGHENY___COGEN,23514,17.39,0.93,-1.71
12/12/2019 00:00,ALTONA_WT_PWR,323606,14.04,-0.71,0.00
12/12/2019 00:00,AMERICAN_REF_FUEL,24010,16.09,-0.27,-1.61
12/12/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,17.34,0.78,-1.82
12/12/2019 00:00,ARTHUR KILL_GT_1,23520,27.17,1.58,-10.85
12/12/2019 00:00,ARTHUR_KILL_2,23512,27.13,1.53,-10.85
12/12/2019 00:00,ARTHUR_KILL_3,23513,27.07,1.49,-10.84
12/12/2019 00:00,ARTHUR_KILL_COGEN,323718,27.17,1.58,-10.85
12/12/2019 00:00,ASHOKAN____,23654,28.29,1.72,-11.82
12/12/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,27.22,1.62,-10.85
12/12/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,27.22,1.62,-10.85
12/12/2019 00:00,ASTORIA_GT2_1,24094,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT2_2,24095,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT2_3,24096,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT2_4,24097,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT3_1,24098,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT3_2,24099,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT3_3,24100,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT3_4,24101,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT4_1,24102,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT4_2,24103,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT4_3,24104,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT4_4,24105,27.23,1.64,-10.85
12/12/2019 00:00,ASTORIA_GT_1,23523,27.26,1.67,-10.85
12/12/2019 00:00,ASTORIA_GT_10,24110,27.19,1.59,-10.85
