Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/03/2019 00:00,59TH STREET_GT_1,24138,18.64,1.42,-3.06
09/03/2019 00:00,74TH STREET_GT_1,24260,18.66,1.44,-3.06
09/03/2019 00:00,74TH STREET_GT_2,24261,18.66,1.44,-3.06
09/03/2019 00:00,ADK HUDSON___FALLS,24011,20.04,1.70,-4.19
09/03/2019 00:00,ADK RESOURCE___RCVRY,23798,20.13,1.78,-4.19
09/03/2019 00:00,ADK S GLENS___FALLS,24028,20.04,1.70,-4.19
09/03/2019 00:00,ADK_NYS___DAM,23527,19.28,1.13,-4.00
09/03/2019 00:00,AIR_PRODUCTS___DRP,24190,18.97,0.86,-3.95
09/03/2019 00:00,ALBANY___1,23571,18.97,0.86,-3.95
09/03/2019 00:00,ALBANY___2,23572,18.97,0.86,-3.95
09/03/2019 00:00,ALBANY___3,23573,18.97,0.86,-3.95
09/03/2019 00:00,ALBANY___4,23574,18.97,0.86,-3.95
09/03/2019 00:00,ALBANY___LFGE,323615,19.17,0.99,-4.02
09/03/2019 00:00,ALCOA_RYNLDS___DRP,24188,13.26,-0.89,0.00
09/03/2019 00:00,ALCOA___DSASP,323711,13.26,-0.89,0.00
09/03/2019 00:00,ALLEGHENY___COGEN,23514,15.26,0.57,-0.53
09/03/2019 00:00,ALTONA_WT_PWR,323606,13.59,-0.57,0.00
09/03/2019 00:00,AMERICAN_REF_FUEL,24010,14.33,-0.31,-0.49
09/03/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,15.20,0.50,-0.55
09/03/2019 00:00,ARTHUR KILL_GT_1,23520,18.74,1.52,-3.07
09/03/2019 00:00,ARTHUR_KILL_2,23512,18.74,1.52,-3.07
09/03/2019 00:00,ARTHUR_KILL_3,23513,18.61,1.39,-3.06
09/03/2019 00:00,ARTHUR_KILL_COGEN,323718,18.74,1.52,-3.07
09/03/2019 00:00,ASHOKAN____,23654,18.63,1.22,-3.26
09/03/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT2_1,24094,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT2_2,24095,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT2_3,24096,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT2_4,24097,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT3_1,24098,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT3_2,24099,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT3_3,24100,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT3_4,24101,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT4_1,24102,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT4_2,24103,18.70,1.47,-3.07
09/03/2019 00:00,ASTORIA_GT4_3,24104,18.70,1.47,-3.07
