Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/19/2019 00:00,59TH STREET_GT_1,24138,20.33,0.53,-14.66
05/19/2019 00:00,74TH STREET_GT_1,24260,24.34,0.53,-18.67
05/19/2019 00:00,74TH STREET_GT_2,24261,24.34,0.53,-18.67
05/19/2019 00:00,ADK HUDSON___FALLS,24011,18.69,0.25,-13.30
05/19/2019 00:00,ADK RESOURCE___RCVRY,23798,18.70,0.25,-13.31
05/19/2019 00:00,ADK S GLENS___FALLS,24028,18.69,0.25,-13.30
05/19/2019 00:00,ADK_NYS___DAM,23527,18.34,0.30,-12.90
05/19/2019 00:00,AIR_PRODUCTS___DRP,24190,17.90,0.25,-12.52
05/19/2019 00:00,ALBANY___1,23571,17.90,0.25,-12.52
05/19/2019 00:00,ALBANY___2,23572,17.90,0.25,-12.52
05/19/2019 00:00,ALBANY___3,23573,17.90,0.25,-12.52
05/19/2019 00:00,ALBANY___4,23574,17.90,0.25,-12.52
05/19/2019 00:00,ALBANY___LFGE,323615,18.17,0.27,-12.76
05/19/2019 00:00,ALCOA_RYNLDS___DRP,24188,4.99,-0.15,0.00
05/19/2019 00:00,ALCOA___DSASP,323711,4.99,-0.15,0.00
05/19/2019 00:00,ALLEGHENY___COGEN,23514,6.73,-0.02,-1.61
05/19/2019 00:00,ALTONA_WT_PWR,323606,5.03,-0.11,0.00
05/19/2019 00:00,AMERICAN_REF_FUEL,24010,6.14,-0.43,-1.43
05/19/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,6.58,-0.17,-1.62
05/19/2019 00:00,ARTHUR KILL_GT_1,23520,22.62,0.44,-17.04
05/19/2019 00:00,ARTHUR_KILL_2,23512,22.62,0.44,-17.04
05/19/2019 00:00,ARTHUR_KILL_3,23513,22.70,0.53,-17.03
05/19/2019 00:00,ARTHUR_KILL_COGEN,323718,22.62,0.44,-17.04
05/19/2019 00:00,ASHOKAN____,23654,15.60,0.34,-10.12
05/19/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_GT2_1,24094,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_GT2_2,24095,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_GT2_3,24096,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_GT2_4,24097,22.03,0.51,-16.38
05/19/2019 00:00,ASTORIA_GT3_1,24098,22.03,0.51,-16.38
