Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
07/02/2019 00:00,59TH STREET_GT_1,24138,21.56,1.61,-5.94
07/02/2019 00:00,74TH STREET_GT_1,24260,21.61,1.61,-5.99
07/02/2019 00:00,74TH STREET_GT_2,24261,21.61,1.61,-5.99
07/02/2019 00:00,ADK HUDSON___FALLS,24011,22.43,1.30,-7.11
07/02/2019 00:00,ADK RESOURCE___RCVRY,23798,22.48,1.35,-7.12
07/02/2019 00:00,ADK S GLENS___FALLS,24028,22.43,1.30,-7.11
07/02/2019 00:00,ADK_NYS___DAM,23527,21.98,1.18,-6.79
07/02/2019 00:00,AIR_PRODUCTS___DRP,24190,21.55,0.83,-6.71
07/02/2019 00:00,ALBANY___1,23571,21.55,0.83,-6.71
07/02/2019 00:00,ALBANY___2,23572,21.55,0.83,-6.71
07/02/2019 00:00,ALBANY___3,23573,21.55,0.83,-6.71
07/02/2019 00:00,ALBANY___4,23574,21.55,0.83,-6.71
07/02/2019 00:00,ALBANY___LFGE,323615,21.79,0.94,-6.83
07/02/2019 00:00,ALCOA_RYNLDS___DRP,24188,13.19,-0.83,0.00
07/02/2019 00:00,ALCOA___DSASP,323711,13.19,-0.83,0.00
07/02/2019 00:00,ALLEGHENY___COGEN,23514,20.90,0.60,-6.29
07/02/2019 00:00,ALTONA_WT_PWR,323606,13.37,-0.64,0.00
07/02/2019 00:00,AMERICAN_REF_FUEL,24010,-1.03,-0.43,14.61
07/02/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,39.56,0.49,-25.06
07/02/2019 00:00,ARTHUR KILL_GT_1,23520,21.52,1.53,-5.98
07/02/2019 00:00,ARTHUR_KILL_2,23512,21.52,1.53,-5.98
07/02/2019 00:00,ARTHUR_KILL_3,23513,21.59,1.61,-5.97
07/02/2019 00:00,ARTHUR_KILL_COGEN,323718,21.52,1.53,-5.98
07/02/2019 00:00,ASHOKAN____,23654,20.72,1.22,-5.49
07/02/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT2_1,24094,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT2_2,24095,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT2_3,24096,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT2_4,24097,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT3_1,24098,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT3_2,24099,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT3_3,24100,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT3_4,24101,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT4_1,24102,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT4_2,24103,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT4_3,24104,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT4_4,24105,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT_1,23523,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT_10,24110,21.60,1.60,-5.99
07/02/2019 00:00,ASTORIA_GT_11,24225,21.60,1.60,-5.99
07/02/2019 00:00,ASTORIA_GT_12,24226,21.60,1.60,-5.99
07/02/2019 00:00,ASTORIA_GT_13,24227,21.60,1.60,-5.99
07/02/2019 00:00,ASTORIA_GT_5,24106,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT_7,24107,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA_GT_8,24108,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA___2,24149,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA___3,23516,21.60,1.60,-5.99
07/02/2019 00:00,ASTORIA___4,23517,21.60,1.61,-5.97
07/02/2019 00:00,ASTORIA___5,23518,21.60,1.60,-5.99
07/02/2019 00:00,AST_ENERGY_2_CC3,323677,21.57,1.60,-5.96
07/02/2019 00:00,AST_ENERGY_2_CC4,323678,21.57,1.60,-5.96
07/02/2019 00:00,ATHENS_STG_1,23668,20.66,0.90,-5.75
07/02/2019 00:00,ATHENS_STG_2,23670,20.66,0.90,-5.75
07/02/2019 00:00,ATHENS_STG_3,23677,20.66,0.90,-5.75
07/02/2019 00:00,AUBURN___LFGE,323710,15.18,0.50,-0.66
07/02/2019 00:00,BABYLON_RES_REC,323704,22.19,1.93,-6.24
07/02/2019 00:00,BARRETT_IC_1,23704,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_10,23701,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_11,23702,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_12,23703,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_2,23705,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_3,23706,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_4,23707,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_5,23708,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_6,23709,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_7,23710,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_8,23711,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT_IC_9,23700,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT___1,23545,32.11,1.72,-16.37
07/02/2019 00:00,BARRETT___2,23546,32.11,1.72,-16.37
07/02/2019 00:00,BAYONEEC___CTG1,323682,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG10,323750,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG2,323683,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG3,323684,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG4,323685,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG5,323686,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG6,323687,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG7,323688,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG8,323689,21.59,1.61,-5.96
07/02/2019 00:00,BAYONEEC___CTG9,323749,21.59,1.61,-5.96
07/02/2019 00:00,BEACON___LESR,323632,21.67,0.97,-6.69
07/02/2019 00:00,BEAVER RIVER___HYD,24048,13.89,-0.22,-0.10
07/02/2019 00:00,BEEBEE_GT_13,23619,14.08,0.06,-0.01
07/02/2019 00:00,BETHLEHEM___GRP,23843,21.55,0.83,-6.71
07/02/2019 00:00,BETHLEHEM___GS1,323560,21.55,0.83,-6.71
07/02/2019 00:00,BETHLEHEM___GS2,323561,21.55,0.83,-6.71
07/02/2019 00:00,BETHLEHEM___GS3,323562,21.55,0.83,-6.71
07/02/2019 00:00,BETHLEHEM___STEEL,23779,41.39,0.25,-27.12
07/02/2019 00:00,BETHPAGE_CC_5,323564,22.35,1.89,-6.45
07/02/2019 00:00,BIGTREE_115_KV_TB2_REV_LBMP_A,345034,43.13,0.35,-28.76
07/02/2019 00:00,BINGHAMTON___COGEN,23790,17.34,0.41,-2.92
07/02/2019 00:00,BLACK RIVER___HYD,24047,14.12,-0.10,-0.20
07/02/2019 00:00,BLISS_WT_PWR,323608,39.07,0.35,-24.70
07/02/2019 00:00,BLUE_CIRC_CHEM_DRP,24182,21.41,0.83,-6.56
07/02/2019 00:00,BOC_GAS_DRP,24189,21.44,0.77,-6.66
07/02/2019 00:00,BORALEX_4TH_BRANCH,23824,21.98,1.18,-6.79
07/02/2019 00:00,BOWLINE___1,23526,20.27,1.25,-5.01
07/02/2019 00:00,BOWLINE___2,23595,20.27,1.25,-5.01
07/02/2019 00:00,BROOKHAVEN___DRP,24191,21.56,1.96,-5.58
07/02/2019 00:00,BROOKLYN_NAVY_YARD,23515,21.59,1.61,-5.96
07/02/2019 00:00,BROOKLYN___ARMY_DRP,323595,21.66,1.65,-5.99
07/02/2019 00:00,BROOME_2_LFGE,323671,17.34,0.41,-2.92
07/02/2019 00:00,BROOME___LFGE,323600,17.34,0.41,-2.92
07/02/2019 00:00,BURROWS___LYONSDAL,23803,14.14,0.13,0.00
07/02/2019 00:00,CAITHNESS_CC_1,323624,21.53,1.93,-5.58
07/02/2019 00:00,CALPINE BETH_PAGE_GT4,24209,22.72,1.89,-6.82
07/02/2019 00:00,CALPINE_BETH_PAGE_GT_4,323586,22.72,1.89,-6.82
