Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/08/2019 00:00,59TH STREET_GT_1,24138,26.01,1.00,-14.60
01/08/2019 00:00,74TH STREET_GT_1,24260,26.01,1.00,-14.60
01/08/2019 00:00,74TH STREET_GT_2,24261,26.01,1.00,-14.60
01/08/2019 00:00,ADK HUDSON___FALLS,24011,31.32,0.86,-20.04
01/08/2019 00:00,ADK RESOURCE___RCVRY,23798,31.24,0.96,-19.87
01/08/2019 00:00,ADK S GLENS___FALLS,24028,31.32,0.86,-20.04
01/08/2019 00:00,ADK_NYS___DAM,23527,30.87,0.84,-19.61
01/08/2019 00:00,AIR_PRODUCTS___DRP,24190,30.30,0.66,-19.23
01/08/2019 00:00,ALBANY___1,23571,30.30,0.66,-19.23
01/08/2019 00:00,ALBANY___2,23572,30.30,0.66,-19.23
01/08/2019 00:00,ALBANY___3,23573,30.30,0.66,-19.23
01/08/2019 00:00,ALBANY___4,23574,30.30,0.66,-19.23
01/08/2019 00:00,ALBANY___LFGE,323615,30.78,0.75,-19.62
01/08/2019 00:00,ALCOA_RYNLDS___DRP,24188,9.88,-0.53,0.00
01/08/2019 00:00,ALCOA___DSASP,323711,9.88,-0.53,0.00
01/08/2019 00:00,ALLEGHENY___COGEN,23514,13.24,0.27,-2.55
01/08/2019 00:00,ALTONA_WT_PWR,323606,9.94,-0.47,0.00
01/08/2019 00:00,AMERICAN_REF_FUEL,24010,12.10,-0.57,-2.26
01/08/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,12.79,-0.16,-2.53
01/08/2019 00:00,ARTHUR KILL_GT_1,23520,26.05,1.03,-14.61
01/08/2019 00:00,ARTHUR_KILL_2,23512,26.05,1.03,-14.61
01/08/2019 00:00,ARTHUR_KILL_3,23513,25.98,0.97,-14.60
01/08/2019 00:00,ARTHUR_KILL_COGEN,323718,26.05,1.03,-14.61
01/08/2019 00:00,ASHOKAN____,23654,27.17,0.71,-16.05
01/08/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT2_1,24094,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT2_2,24095,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT2_3,24096,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT2_4,24097,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT3_1,24098,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT3_2,24099,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT3_3,24100,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT3_4,24101,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT4_1,24102,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT4_2,24103,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT4_3,24104,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT4_4,24105,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT_1,23523,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT_10,24110,25.99,0.98,-14.60
01/08/2019 00:00,ASTORIA_GT_11,24225,25.99,0.98,-14.60
01/08/2019 00:00,ASTORIA_GT_12,24226,25.99,0.98,-14.60
01/08/2019 00:00,ASTORIA_GT_13,24227,25.99,0.98,-14.60
01/08/2019 00:00,ASTORIA_GT_5,24106,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT_7,24107,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA_GT_8,24108,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA___2,24149,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA___3,23516,25.99,0.98,-14.60
01/08/2019 00:00,ASTORIA___4,23517,25.96,0.96,-14.59
01/08/2019 00:00,ASTORIA___5,23518,25.99,0.98,-14.60
01/08/2019 00:00,AST_ENERGY_2_CC3,323677,25.96,0.95,-14.60
01/08/2019 00:00,AST_ENERGY_2_CC4,323678,25.96,0.95,-14.60
01/08/2019 00:00,ATHENS_STG_1,23668,27.77,0.61,-16.75
01/08/2019 00:00,ATHENS_STG_2,23670,27.77,0.61,-16.75
01/08/2019 00:00,ATHENS_STG_3,23677,27.77,0.61,-16.75
01/08/2019 00:00,AUBURN___LFGE,323710,12.45,0.17,-1.87
01/08/2019 00:00,BABYLON_RES_REC,323704,27.39,1.34,-15.63
01/08/2019 00:00,BARRETT_IC_1,23704,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_10,23701,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_11,23702,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_12,23703,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_2,23705,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_3,23706,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_4,23707,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_5,23708,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_6,23709,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_7,23710,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_8,23711,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT_IC_9,23700,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT___1,23545,37.12,1.19,-25.52
01/08/2019 00:00,BARRETT___2,23546,37.12,1.19,-25.52
01/08/2019 00:00,BAYONEEC___CTG1,323682,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG10,323750,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG2,323683,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG3,323684,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG4,323685,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG5,323686,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG6,323687,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG7,323688,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG8,323689,25.99,0.98,-14.60
01/08/2019 00:00,BAYONEEC___CTG9,323749,25.99,0.98,-14.60
01/08/2019 00:00,BEACON___LESR,323632,30.34,0.79,-19.14
01/08/2019 00:00,BEAVER RIVER___HYD,24048,10.52,-0.22,-0.32
01/08/2019 00:00,BEEBEE_GT_13,23619,12.08,-0.12,-1.79
01/08/2019 00:00,BETHLEHEM___GRP,23843,30.30,0.66,-19.23
01/08/2019 00:00,BETHLEHEM___GS1,323560,30.30,0.66,-19.23
01/08/2019 00:00,BETHLEHEM___GS2,323561,30.30,0.66,-19.23
01/08/2019 00:00,BETHLEHEM___GS3,323562,30.30,0.66,-19.23
01/08/2019 00:00,BETHLEHEM___STEEL,23779,12.78,-0.06,-2.43
01/08/2019 00:00,BETHPAGE_CC_5,323564,27.57,1.31,-15.84
01/08/2019 00:00,BIGTREE_115_KV_TB2_REV_LBMP_A,345034,12.89,0.02,-2.46
01/08/2019 00:00,BINGHAMTON___COGEN,23790,15.60,0.32,-4.86
01/08/2019 00:00,BLACK RIVER___HYD,24047,10.93,-0.09,-0.61
01/08/2019 00:00,BLISS_WT_PWR,323608,13.34,0.32,-2.61
01/08/2019 00:00,BLUE_CIRC_CHEM_DRP,24182,28.39,1.19,-16.79
01/08/2019 00:00,BOC_GAS_DRP,24189,30.08,0.55,-19.11
01/08/2019 00:00,BORALEX_4TH_BRANCH,23824,30.87,0.84,-19.61
01/08/2019 00:00,BOWLINE___1,23526,25.40,0.81,-14.18
01/08/2019 00:00,BOWLINE___2,23595,25.40,0.81,-14.18
01/08/2019 00:00,BROOKHAVEN___DRP,24191,26.81,1.41,-15.00
01/08/2019 00:00,BROOKLYN_NAVY_YARD,23515,25.98,0.97,-14.60
01/08/2019 00:00,BROOKLYN___ARMY_DRP,323595,26.09,1.07,-14.61
01/08/2019 00:00,BROOME_2_LFGE,323671,15.60,0.32,-4.86
01/08/2019 00:00,BROOME___LFGE,323600,15.60,0.32,-4.86
01/08/2019 00:00,BURROWS___LYONSDAL,23803,10.50,0.08,0.00
01/08/2019 00:00,CAITHNESS_CC_1,323624,26.79,1.39,-14.99
01/08/2019 00:00,CALPINE BETH_PAGE_GT4,24209,27.93,1.31,-16.20
01/08/2019 00:00,CALPINE_BETH_PAGE_GT_4,323586,27.93,1.31,-16.20
01/08/2019 00:00,CALPINE_BP_GT1,23823,27.93,1.31,-16.20
01/08/2019 00:00,CALSPAN___DRP,24200,12.78,-0.06,-2.43
01/08/2019 00:00,CANDIGU_WT_PWR,323617,13.88,0.18,-3.29
01/08/2019 00:00,CARR STREET_E._SYR,24060,11.75,0.01,-1.33
01/08/2019 00:00,CARTHAGE___PAPER,23857,10.79,-0.15,-0.53
01/08/2019 00:00,CE_DUNWOOD___DRP,24194,25.87,0.91,-14.55
01/08/2019 00:00,CE_MILLWOOD___DRP,24193,25.80,0.86,-14.52
01/08/2019 00:00,CE_NYC2_DRP,24202,26.00,0.99,-14.60
01/08/2019 00:00,CE_NYC_DRP,24195,26.01,1.00,-14.60
01/08/2019 00:00,CHAFFEE___LFGE,323603,12.98,0.05,-2.51
01/08/2019 00:00,CHATEAUG_WT_PWR,323614,9.93,-0.48,0.00
01/08/2019 00:00,CHAT_HIGH_FALL_HYD,323578,9.88,-0.53,0.00
01/08/2019 00:00,CHAUTAUQUA___LFGE,323629,12.84,-0.05,-2.47
01/08/2019 00:00,CH_MIDHUDSON___DRP,24192,27.01,0.87,-15.72
01/08/2019 00:00,CH_MISC_IPPS,23765,26.32,0.88,-15.02
01/08/2019 00:00,CH_RES_BVR_FALLS,23983,9.22,-0.28,0.91
01/08/2019 00:00,CH_RES_NIAGARA,23895,12.08,-0.57,-2.24
01/08/2019 00:00,CH_RES_SYRACUSE,23985,11.96,0.06,-1.48
01/08/2019 00:00,CLINTON_WT_PWR,323605,9.93,-0.48,0.00
01/08/2019 00:00,CLINTON___LFGE,323618,9.95,-0.46,0.00
01/08/2019 00:00,COLONIE_LFGE__,323577,31.18,0.78,-19.98
01/08/2019 00:00,COPENHAGEN_WT_PWR,323753,10.98,-0.09,-0.66
01/08/2019 00:00,CORNELL____,23752,14.07,0.34,-3.32
01/08/2019 00:00,COXSACKIE___GT,23611,27.66,0.79,-16.46
01/08/2019 00:00,CPV_VALLEY___CC1,323721,23.81,0.68,-12.72
