Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
10/12/2019 00:00,59TH STREET_GT_1,24138,13.89,1.22,0.00
10/12/2019 00:00,74TH STREET_GT_1,24260,13.90,1.23,0.00
10/12/2019 00:00,74TH STREET_GT_2,24261,13.90,1.23,0.00
10/12/2019 00:00,ADK HUDSON___FALLS,24011,13.95,1.28,0.00
10/12/2019 00:00,ADK RESOURCE___RCVRY,23798,14.01,1.34,0.00
10/12/2019 00:00,ADK S GLENS___FALLS,24028,13.95,1.28,0.00
10/12/2019 00:00,ADK_NYS___DAM,23527,13.76,1.09,0.00
10/12/2019 00:00,AIR_PRODUCTS___DRP,24190,13.42,0.75,0.00
10/12/2019 00:00,ALBANY___1,23571,13.42,0.75,0.00
10/12/2019 00:00,ALBANY___2,23572,13.42,0.75,0.00
10/12/2019 00:00,ALBANY___3,23573,13.42,0.75,0.00
10/12/2019 00:00,ALBANY___4,23574,13.42,0.75,0.00
10/12/2019 00:00,ALBANY___LFGE,323615,13.52,0.85,0.00
10/12/2019 00:00,ALCOA_RYNLDS___DRP,24188,12.22,-0.46,0.00
10/12/2019 00:00,ALCOA___DSASP,323711,12.22,-0.46,0.00
10/12/2019 00:00,ALLEGHENY___COGEN,23514,12.89,0.22,0.00
10/12/2019 00:00,ALTONA_WT_PWR,323606,12.19,-0.48,0.00
10/12/2019 00:00,AMERICAN_REF_FUEL,24010,12.05,-0.62,0.00
10/12/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,12.60,-0.08,0.00
10/12/2019 00:00,ARTHUR KILL_GT_1,23520,14.02,1.34,-0.01
10/12/2019 00:00,ARTHUR_KILL_2,23512,14.00,1.32,-0.01
10/12/2019 00:00,ARTHUR_KILL_3,23513,13.89,1.22,0.00
10/12/2019 00:00,ARTHUR_KILL_COGEN,323718,14.02,1.34,-0.01
10/12/2019 00:00,ASHOKAN____,23654,13.58,0.91,0.00
10/12/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT2_1,24094,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT2_2,24095,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT2_3,24096,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT2_4,24097,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT3_1,24098,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT3_2,24099,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT3_3,24100,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT3_4,24101,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT4_1,24102,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT4_2,24103,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT4_3,24104,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT4_4,24105,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA_GT_1,23523,13.96,1.28,-0.01
10/12/2019 00:00,ASTORIA_GT_10,24110,13.95,1.27,-0.01
10/12/2019 00:00,ASTORIA_GT_11,24225,13.95,1.27,-0.01
10/12/2019 00:00,ASTORIA_GT_12,24226,13.95,1.27,-0.01
10/12/2019 00:00,ASTORIA_GT_13,24227,13.95,1.27,-0.01
10/12/2019 00:00,ASTORIA_GT_5,24106,13.96,1.28,-0.01
10/12/2019 00:00,ASTORIA_GT_7,24107,13.96,1.28,-0.01
10/12/2019 00:00,ASTORIA_GT_8,24108,13.96,1.28,-0.01
10/12/2019 00:00,ASTORIA___2,24149,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA___3,23516,13.95,1.27,-0.01
10/12/2019 00:00,ASTORIA___4,23517,13.93,1.25,-0.01
10/12/2019 00:00,ASTORIA___5,23518,13.95,1.27,-0.01
10/12/2019 00:00,AST_ENERGY_2_CC3,323677,13.90,1.23,0.00
10/12/2019 00:00,AST_ENERGY_2_CC4,323678,13.90,1.23,0.00
10/12/2019 00:00,ATHENS_STG_1,23668,13.36,0.68,0.00
10/12/2019 00:00,ATHENS_STG_2,23670,13.36,0.68,0.00
10/12/2019 00:00,ATHENS_STG_3,23677,13.36,0.68,0.00
10/12/2019 00:00,AUBURN___LFGE,323710,12.72,0.05,0.00
10/12/2019 00:00,BABYLON_RES_REC,323704,13.98,1.31,0.00
10/12/2019 00:00,BARRETT_IC_1,23704,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_10,23701,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_11,23702,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_12,23703,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_2,23705,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_3,23706,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_4,23707,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_5,23708,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_6,23709,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_7,23710,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_8,23711,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT_IC_9,23700,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT___1,23545,13.87,1.19,-0.01
10/12/2019 00:00,BARRETT___2,23546,13.87,1.19,-0.01
10/12/2019 00:00,BAYONEEC___CTG1,323682,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG10,323750,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG2,323683,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG3,323684,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG4,323685,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG5,323686,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG6,323687,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG7,323688,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG8,323689,13.90,1.23,0.00
10/12/2019 00:00,BAYONEEC___CTG9,323749,13.90,1.23,0.00
10/12/2019 00:00,BEACON___LESR,323632,13.50,0.82,0.00
10/12/2019 00:00,BEAVER RIVER___HYD,24048,12.53,-0.14,0.00
10/12/2019 00:00,BEEBEE_GT_13,23619,12.46,-0.22,0.00
10/12/2019 00:00,BETHLEHEM___GRP,23843,13.42,0.75,0.00
10/12/2019 00:00,BETHLEHEM___GS1,323560,13.42,0.75,0.00
10/12/2019 00:00,BETHLEHEM___GS2,323561,13.42,0.75,0.00
10/12/2019 00:00,BETHLEHEM___GS3,323562,13.42,0.75,0.00
10/12/2019 00:00,BETHLEHEM___STEEL,23779,12.58,-0.09,0.00
10/12/2019 00:00,BETHPAGE_CC_5,323564,13.95,1.28,0.00
10/12/2019 00:00,BIGTREE_115_KV_TB2_REV_LBMP_A,345034,12.66,-0.01,0.00
10/12/2019 00:00,BINGHAMTON___COGEN,23790,12.91,0.24,0.00
10/12/2019 00:00,BLACK RIVER___HYD,24047,12.56,-0.11,0.00
10/12/2019 00:00,BLISS_WT_PWR,323608,12.87,0.20,0.00
10/12/2019 00:00,BLUE_CIRC_CHEM_DRP,24182,13.48,0.81,0.00
10/12/2019 00:00,BOC_GAS_DRP,24189,13.33,0.66,0.00
10/12/2019 00:00,BORALEX_4TH_BRANCH,23824,13.76,1.09,0.00
10/12/2019 00:00,BOWLINE___1,23526,13.63,0.96,0.00
10/12/2019 00:00,BOWLINE___2,23595,13.63,0.96,0.00
10/12/2019 00:00,BROOKHAVEN___DRP,24191,14.12,1.44,0.00
10/12/2019 00:00,BROOKLYN_NAVY_YARD,23515,13.89,1.22,0.00
10/12/2019 00:00,BROOKLYN___ARMY_DRP,323595,14.00,1.32,-0.01
10/12/2019 00:00,BROOME_2_LFGE,323671,12.91,0.24,0.00
10/12/2019 00:00,BROOME___LFGE,323600,12.91,0.24,0.00
