Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/30/2019 00:00,59TH STREET_GT_1,24138,21.27,1.57,-4.35
05/30/2019 00:00,74TH STREET_GT_1,24260,21.29,1.58,-4.35
05/30/2019 00:00,74TH STREET_GT_2,24261,21.29,1.58,-4.35
05/30/2019 00:00,ADK HUDSON___FALLS,24011,22.49,1.15,-5.97
05/30/2019 00:00,ADK RESOURCE___RCVRY,23798,22.54,1.20,-5.98
05/30/2019 00:00,ADK S GLENS___FALLS,24028,22.49,1.15,-5.97
05/30/2019 00:00,ADK_NYS___DAM,23527,22.12,1.04,-5.72
05/30/2019 00:00,AIR_PRODUCTS___DRP,24190,21.79,0.80,-5.63
05/30/2019 00:00,ALBANY___1,23571,21.79,0.80,-5.63
05/30/2019 00:00,ALBANY___2,23572,21.79,0.80,-5.63
05/30/2019 00:00,ALBANY___3,23573,21.79,0.80,-5.63
05/30/2019 00:00,ALBANY___4,23574,21.79,0.80,-5.63
05/30/2019 00:00,ALBANY___LFGE,323615,21.99,0.89,-5.74
05/30/2019 00:00,ALCOA_RYNLDS___DRP,24188,14.74,-0.61,0.00
05/30/2019 00:00,ALCOA___DSASP,323711,14.74,-0.61,0.00
05/30/2019 00:00,ALLEGHENY___COGEN,23514,16.06,-0.03,-0.74
05/30/2019 00:00,ALTONA_WT_PWR,323606,14.90,-0.46,0.00
05/30/2019 00:00,AMERICAN_REF_FUEL,24010,14.78,-1.23,-0.66
05/30/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,15.88,-0.23,-0.75
05/30/2019 00:00,ARTHUR KILL_GT_1,23520,21.19,1.47,-4.35
05/30/2019 00:00,ARTHUR_KILL_2,23512,21.19,1.47,-4.35
05/30/2019 00:00,ARTHUR_KILL_3,23513,21.27,1.57,-4.35
05/30/2019 00:00,ARTHUR_KILL_COGEN,323718,21.19,1.47,-4.35
05/30/2019 00:00,ASHOKAN____,23654,21.34,1.32,-4.66
05/30/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT2_1,24094,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT2_2,24095,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT2_3,24096,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT2_4,24097,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT3_1,24098,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT3_2,24099,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT3_3,24100,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT3_4,24101,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT4_1,24102,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT4_2,24103,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT4_3,24104,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT4_4,24105,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT_1,23523,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT_10,24110,21.34,1.63,-4.35
05/30/2019 00:00,ASTORIA_GT_11,24225,21.34,1.63,-4.35
05/30/2019 00:00,ASTORIA_GT_12,24226,21.34,1.63,-4.35
05/30/2019 00:00,ASTORIA_GT_13,24227,21.34,1.63,-4.35
05/30/2019 00:00,ASTORIA_GT_5,24106,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT_7,24107,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA_GT_8,24108,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA___2,24149,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA___3,23516,21.34,1.63,-4.35
05/30/2019 00:00,ASTORIA___4,23517,21.45,1.74,-4.35
05/30/2019 00:00,ASTORIA___5,23518,21.34,1.63,-4.35
05/30/2019 00:00,AST_ENERGY_2_CC3,323677,21.26,1.55,-4.35
05/30/2019 00:00,AST_ENERGY_2_CC4,323678,21.26,1.55,-4.35
05/30/2019 00:00,ATHENS_STG_1,23668,21.19,0.92,-4.91
05/30/2019 00:00,ATHENS_STG_2,23670,21.19,0.92,-4.91
