Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/15/2019 00:00,59TH STREET_GT_1,24138,23.93,2.15,-3.21
03/15/2019 00:00,74TH STREET_GT_1,24260,23.99,2.21,-3.21
03/15/2019 00:00,74TH STREET_GT_2,24261,23.99,2.21,-3.21
03/15/2019 00:00,ADK HUDSON___FALLS,24011,24.53,1.49,-4.48
03/15/2019 00:00,ADK RESOURCE___RCVRY,23798,24.56,1.54,-4.45
03/15/2019 00:00,ADK S GLENS___FALLS,24028,24.53,1.49,-4.48
03/15/2019 00:00,ADK_NYS___DAM,23527,24.12,1.15,-4.40
03/15/2019 00:00,AIR_PRODUCTS___DRP,24190,23.95,1.15,-4.23
03/15/2019 00:00,ALBANY___1,23571,23.95,1.15,-4.23
03/15/2019 00:00,ALBANY___2,23572,23.95,1.15,-4.23
03/15/2019 00:00,ALBANY___3,23573,23.95,1.15,-4.23
03/15/2019 00:00,ALBANY___4,23574,23.95,1.15,-4.23
03/15/2019 00:00,ALBANY___LFGE,323615,24.11,1.26,-4.28
03/15/2019 00:00,ALCOA_RYNLDS___DRP,24188,17.58,-0.98,0.00
03/15/2019 00:00,ALCOA___DSASP,323711,17.58,-0.98,0.00
03/15/2019 00:00,ALLEGHENY___COGEN,23514,19.38,0.26,-0.55
03/15/2019 00:00,ALTONA_WT_PWR,323606,17.04,-1.52,0.00
03/15/2019 00:00,AMERICAN_REF_FUEL,24010,18.17,-0.89,-0.49
03/15/2019 00:00,ARKWRIGHT___SUMMIT_WT_PWR,323751,18.71,-0.41,-0.55
03/15/2019 00:00,ARTHUR KILL_GT_1,23520,23.94,2.15,-3.22
03/15/2019 00:00,ARTHUR_KILL_2,23512,23.94,2.15,-3.22
03/15/2019 00:00,ARTHUR_KILL_3,23513,23.91,2.13,-3.21
03/15/2019 00:00,ARTHUR_KILL_COGEN,323718,23.94,2.15,-3.22
03/15/2019 00:00,ASHOKAN____,23654,23.93,1.87,-3.49
03/15/2019 00:00,ASTORIA_EAST_ENERGY_CC1,323581,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_EAST_ENERGY_CC2,323582,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT2_1,24094,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT2_2,24095,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT2_3,24096,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT2_4,24097,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT3_1,24098,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT3_2,24099,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT3_3,24100,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT3_4,24101,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT4_1,24102,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT4_2,24103,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT4_3,24104,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT4_4,24105,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT_1,23523,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT_10,24110,24.07,2.28,-3.22
03/15/2019 00:00,ASTORIA_GT_11,24225,24.07,2.28,-3.22
03/15/2019 00:00,ASTORIA_GT_12,24226,24.07,2.28,-3.22
03/15/2019 00:00,ASTORIA_GT_13,24227,24.07,2.28,-3.22
03/15/2019 00:00,ASTORIA_GT_5,24106,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT_7,24107,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA_GT_8,24108,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA___2,24149,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA___3,23516,24.07,2.28,-3.22
03/15/2019 00:00,ASTORIA___4,23517,23.98,2.19,-3.22
03/15/2019 00:00,ASTORIA___5,23518,24.07,2.28,-3.22
03/15/2019 00:00,AST_ENERGY_2_CC3,323677,23.97,2.19,-3.21
03/15/2019 00:00,AST_ENERGY_2_CC4,323678,23.97,2.19,-3.21
03/15/2019 00:00,ATHENS_STG_1,23668,23.44,1.28,-3.59
03/15/2019 00:00,ATHENS_STG_2,23670,23.44,1.28,-3.59
03/15/2019 00:00,ATHENS_STG_3,23677,23.44,1.28,-3.59
03/15/2019 00:00,AUBURN___LFGE,323710,19.14,0.17,-0.41
03/15/2019 00:00,BABYLON_RES_REC,323704,24.30,2.52,-3.22
03/15/2019 00:00,BARRETT_IC_1,23704,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_10,23701,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_11,23702,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_12,23703,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_2,23705,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_3,23706,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_4,23707,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_5,23708,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_6,23709,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_7,23710,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_8,23711,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT_IC_9,23700,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT___1,23545,24.19,2.34,-3.29
03/15/2019 00:00,BARRETT___2,23546,24.19,2.34,-3.29
03/15/2019 00:00,BAYONEEC___CTG1,323682,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG10,323750,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG2,323683,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG3,323684,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG4,323685,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG5,323686,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG6,323687,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG7,323688,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG8,323689,23.95,2.17,-3.21
03/15/2019 00:00,BAYONEEC___CTG9,323749,23.95,2.17,-3.21
03/15/2019 00:00,BEACON___LESR,323632,24.08,1.35,-4.16
03/15/2019 00:00,BEAVER RIVER___HYD,24048,18.22,-0.41,-0.07
03/15/2019 00:00,BEEBEE_GT_13,23619,18.60,-0.35,-0.39
03/15/2019 00:00,BETHLEHEM___GRP,23843,23.95,1.15,-4.23
03/15/2019 00:00,BETHLEHEM___GS1,323560,23.95,1.15,-4.23
03/15/2019 00:00,BETHLEHEM___GS2,323561,23.95,1.15,-4.23
03/15/2019 00:00,BETHLEHEM___GS3,323562,23.95,1.15,-4.23
03/15/2019 00:00,BETHLEHEM___STEEL,23779,18.91,-0.19,-0.53
03/15/2019 00:00,BETHPAGE_CC_5,323564,24.23,2.45,-3.22
