Date,Hour,PartID,Awarded,MCSimpleED,MCMarket
03/22/2019,2,401592,2129,21.7642162545895,16.3334934513863
03/22/2019,2,591975,1784,21.7496230234527,11.4818403634467
03/22/2019,2,206845,1284,22.9651496810206,18.6579406254486
03/22/2019,2,749668,860,23.4282792318688,19.5539135005547
03/22/2019,2,902793,701,23.5743986158429,19.809441399348
03/22/2019,2,219842,680,23.8235683668956,20.3194389605179
03/22/2019,2,595644,578,23.6753823993576,20.4276725170701
03/22/2019,2,212494,317.5,24.330462004512,21.3038148208957
03/22/2019,2,975156,207,24.4958068410991,21.6205792129812
03/22/2019,2,872788,193.799999999996,24.4288074367793,21.6270003758326
03/22/2019,3,401592,2129,21.7550318923301,8.65346814423882
03/22/2019,3,591975,1782,21.7461782289525,-1.44582991063088
03/22/2019,3,206845,1284,22.9556415921803,13.2099914735569
03/22/2019,3,749668,860,23.4183439567292,13.5704957177181
03/22/2019,3,219842,680,23.8138288805939,16.4669619953417
03/22/2019,3,595644,577,23.6660265617113,17.0208872598362
03/22/2019,3,902793,505.600000000002,23.9035574800694,16.975616470315
03/22/2019,3,212494,317.5,24.3205070800932,18.4214827127018
03/22/2019,3,975156,207,24.4858861445337,19.0175365926996
03/22/2019,3,698953,185.6,24.5162921179974,19.1329325681403
03/22/2019,4,401592,2129,21.749952616005,8.72533790601342
03/22/2019,4,591975,1776,21.75400364713,-1.05039118082493
03/22/2019,4,206845,1284,22.95257828039,13.2305143829597
03/22/2019,4,749668,860,23.415795626621,13.5236297104055
03/22/2019,4,219842,680,23.8122065659386,16.4507825392622
03/22/2019,4,595644,577,23.6634834146042,16.9987781041465
03/22/2019,4,902793,503.599999999997,23.9060577776524,16.9830338381229
03/22/2019,4,212494,317.5,24.319721187203,18.3833181179895
03/22/2019,4,975156,207,24.4853922928666,18.972615052393
03/22/2019,4,698953,185.6,24.5158493215268,19.0867106460104
03/22/2019,5,401592,2129,21.752090597197,8.47771447390994
03/22/2019,5,591975,1772,21.7618145668125,-1.70258212475402
03/22/2019,5,206845,1284,22.9578366964777,13.1843666672148
03/22/2019,5,749668,860,23.4218392984392,13.7835700898437
03/22/2019,5,902793,697,23.5776752111273,15.6817445538803
03/22/2019,5,219842,680,23.8196954467327,16.5486482349736
03/22/2019,5,595644,577,23.6720665274518,17.1189121743831
03/22/2019,5,212494,317,24.3294781351062,18.5701048682151
03/22/2019,5,975156,207,24.4946278786378,19.1832594627052
03/22/2019,5,872788,190.599999999999,24.432902248141,19.2733603850379
03/22/2019,6,401592,2129,22.7319129171642,19.8149652924119
03/22/2019,6,591975,1938,22.8306045023048,18.6541546419851
03/22/2019,6,206845,1284,24.4417924779891,21.2011521538078
03/22/2019,6,749668,972,24.9153285782297,21.5671587282113
03/22/2019,6,902793,697,25.4828241011371,21.9204645106933
03/22/2019,6,219842,680,25.6640022469101,22.1919886795867
03/22/2019,6,872788,607,25.3613428620473,22.164340979153
03/22/2019,6,595644,577,25.8625918861099,22.0201483817783
03/22/2019,6,212494,317,26.3984061658945,22.7719519592388
03/22/2019,6,958512,220.699999999997,26.1720997999075,22.9453440466799
