Date,Hour,PartID,Awarded,MCSimpleED,MCMarket
10/21/2019,10,401592,2114,16.9396780644874,17.1431769192104
10/21/2019,10,212494,1591.5,17.3519754305688,17.5642976378535
10/21/2019,10,206845,1287.3,17.6789066094677,17.8976572365656
10/21/2019,10,591975,1075,17.73119171333,17.938619785329
10/21/2019,10,872788,999,17.9192104703026,18.1427315591455
10/21/2019,10,902793,906.5,17.8946446234363,18.1305599558033
10/21/2019,10,595644,556,18.2416270158851,18.4892719326537
10/21/2019,10,739738,492,18.3893670893239,18.623096930025
10/21/2019,10,295534,345,18.4726462973251,18.7064059650237
10/21/2019,10,196063,285,18.5458687296285,18.784827768844
10/21/2019,11,401592,2114,16.9077047482914,17.3607957191476
10/21/2019,11,212494,1753,17.1298506265131,17.6099793001012
10/21/2019,11,206845,1287.3,17.6320625934132,18.1484696448717
10/21/2019,11,591975,1056,17.708180117679,18.1966102202401
10/21/2019,11,872788,992,17.8742698781824,18.4120930402702
10/21/2019,11,902793,903.4,17.8453735329173,18.4073137766428
10/21/2019,11,595644,553,18.1845038939167,18.7914106028169
10/21/2019,11,739738,490.7,18.3293029255474,18.907299704467
10/21/2019,11,328723,210,18.5638607907612,19.1607993320235
10/21/2019,11,196063,206.1,18.5587479084129,19.1607937746736
10/21/2019,12,401592,2114,16.904062248262,17.2578237672517
10/21/2019,12,212494,1748.5,17.1315299776217,17.5031769300372
10/21/2019,12,206845,1287.3,17.629844527998,18.0178192576079
10/21/2019,12,591975,1050,17.7118598094801,18.0805455851719
10/21/2019,12,872788,989,17.8751788998563,18.2744590046006
10/21/2019,12,902793,901.6,17.8452450459406,18.2648625985086
10/21/2019,12,595644,552,18.1844307248776,18.6284324627876
10/21/2019,12,739738,490,18.3290898827289,18.7505396772059
10/21/2019,12,328723,209,18.5644912190227,18.9957003318411
10/21/2019,12,196063,204.6,18.5598370612456,18.9945867228329
10/21/2019,13,401592,2114,16.9006604299679,17.3901856173422
10/21/2019,13,212494,1743,17.1341914945635,17.6575084715874
10/21/2019,13,206845,1287.3,17.6277730234142,18.1966734603617
10/21/2019,13,591975,1048,17.7117837177376,18.2491110512228
10/21/2019,13,872788,985,17.8771114409305,18.4738324992062
10/21/2019,13,902793,899.1,17.8459139269344,18.4678054069059
10/21/2019,13,595644,550,18.1856903074379,18.8631945474257
10/21/2019,13,739738,489.4,18.3288465924292,18.9749383948357
10/21/2019,13,328723,207,18.5660828263336,19.2365307737035
10/21/2019,13,196063,203.1,18.560919647807,19.2370623827689
10/21/2019,14,401592,2114,16.8985446327131,17.2593781276919
10/21/2019,14,212494,1741.5,17.133193036691,17.5136303931486
10/21/2019,14,206845,1287.3,17.6264846289932,18.0236540155051
10/21/2019,14,591975,1045,17.7136363678442,18.0912637849543
10/21/2019,14,872788,985,17.8760875667432,18.2854746954127
10/21/2019,14,902793,908.7,17.8348511550575,18.2646538946614
10/21/2019,14,595644,549,18.1862581786792,18.6419909632329
10/21/2019,14,739738,488.8,18.3289025066958,18.761633036022
10/21/2019,14,328723,206,18.566861900225,19.0101260211345
10/21/2019,14,196063,202.8,18.5610317886086,19.0078549450224
10/21/2019,15,401592,2114,17.0362751220142,17.6691449685575
10/21/2019,15,212494,1753.9,17.2643316681079,17.9888123091868
10/21/2019,15,206845,1287.3,17.7690132282729,18.7448932440723
10/21/2019,15,591975,1059,17.8358723588315,18.702188198299
10/21/2019,15,872788,987,18.0181505937876,19.1240486949343
10/21/2019,15,902793,905.8,17.9901434755773,19.0774899667442
10/21/2019,15,595644,549,18.3424374334472,19.6902707848846
10/21/2019,15,739738,489.4,18.4757316606326,19.783158373515
10/21/2019,15,295534,345,18.5562014215887,19.9123253144403
10/21/2019,15,196063,303.4,18.6116050377903,20.0095469371016
10/21/2019,16,401592,2114,17.303130390153,18.2521254125076
10/21/2019,16,212494,1844.5,17.4574534320811,18.616580983989
10/21/2019,16,206845,1287.3,18.0762042342687,19.7182559925047
10/21/2019,16,591975,1209,17.9618922656881,19.0117818616191
10/21/2019,16,872788,1041,18.2878648557042,20.1544703257527
10/21/2019,16,902793,905.8,18.3252487175052,20.2050861350144
10/21/2019,16,595644,551,18.7035062882442,21.0238355645337
10/21/2019,16,739738,489.3,18.8222428334774,21.1334890382234
10/21/2019,16,328723,346,18.9340670744235,21.3802568288111
10/21/2019,16,295534,345,18.9055244324033,21.3643586008981
10/21/2019,17,401592,2114,17.4635226313591,17.8732136090678
10/21/2019,17,212494,1849,17.6252467486149,19.3856861971116
10/21/2019,17,591975,1375,17.9539716757514,21.6521330760385
10/21/2019,17,206845,1287.3,18.3068338142613,21.827004306786
10/21/2019,17,872788,1046,18.5344462282633,23.9687636873628
10/21/2019,17,902793,929.2,18.5569389745424,24.1562966063483
10/21/2019,17,595644,552,19.0115996837826,26.7846749172694
10/21/2019,17,739738,490,19.1200699645397,27.1421024584087
10/21/2019,17,958512,369,19.1786790220637,27.8094539991307
10/21/2019,17,328723,346,19.2431647812549,27.8706265047479
10/21/2019,18,401592,2114,17.8011110522328,25.7550546551169
10/21/2019,18,212494,1860,17.9758506377974,26.7048156654444
10/21/2019,18,591975,1410,18.240404929775,27.1555098820834
10/21/2019,18,206845,1287.3,18.934749412086,28.8551594385837
10/21/2019,18,872788,1052,19.2487798418775,30.0194796580809
10/21/2019,18,902793,988.699999999999,19.1441708822985,29.2973778099989
10/21/2019,18,595644,554,19.9314392135861,32.0191817781135
10/21/2019,18,739738,490.6,20.0272467142992,32.2284063243319
10/21/2019,18,295534,486,19.9569746826919,32.1913591461934
